id,cd,emd
03001627/87991eba27985f3a417a8f1d2c94eaf6,0.00897576,0.004219812
03001627/a8f21e581e687c0fa329355bc8cbc0b5,0.0097624315,0.0035418435
03001627/ed6bc67f247a5aa3e43df8c9a38bf11b,0.009733601,0.0027686881
03001627/2016d09b261b09f05413c1f22a911d58,0.012767307,0.0031569272
03001627/6b32d3a9198f8b03d1dcc55e36186e4e,0.010170335,0.0036855692
03001627/7df2443e976658b7cdfc3ede082b8a07,0.015333096,0.0036027082
03001627/ee6f7e45be30b0a5b9b8611336bc3051,0.01246598,0.0037466811
03001627/edba8e42a3996f7cb1a9ec000a076431,0.0078885425,0.0026724567
03001627/4d6107c32c75ad6b9f4b4145f6688869,0.005934508,0.0012396377
03001627/e9df7789d02eb998c8687ff9b0b4e4ac,0.006834631,0.0020296364
03001627/c0739ef0c29f005ef1f5e7b74609d54c,0.012549851,0.0043550194
03001627/3186f9dd5179358b79368d1198f406e7,0.008950832,0.003707951
03001627/947dfd74fc8b2e60643b321651a8f917,0.0071644494,0.0011645263
03001627/842130b6eaaef7a4932471681ea5bcf2,0.008053274,0.0015942411
03001627/a3cb39c5271c3232feec1f13d2353f3,0.0101295225,0.0025259552
03001627/8e76d0002b592ef91663a74ccd2338,0.0072018434,0.0015965888
03001627/5539a4a9f2f1b45f3eec26c23f5bc80b,0.0059824064,0.0017394611
03001627/e0c76c1c82f12df4c1e1aceb66eee9be,0.0070949974,0.002391819
03001627/dddbd223b3bbfa8efd93c2ac42357c74,0.0065254313,0.0014793371
03001627/7f8d63acb7b4b5e84d2f52566c6c4e9,0.006884883,0.0029546537
03001627/e34658debcd1644dc8687ff9b0b4e4ac,0.006054353,0.0013357447
03001627/ff167d9f25fb6ede2419ec0765e66c90,0.007655577,0.0032157605
03001627/b0b75045d06201f9329df33f4ef71f97,0.008423744,0.0020875768
03001627/ff14d078e2f0f8c65242f8291aafac22,0.009330098,0.002543135
03001627/d01321ae63ae0b40ad1f278e1513f3b7,0.008488801,0.001783326
03001627/c0fa1417c0cf2f20593ebeeedbff73b,0.009211678,0.0034395987
03001627/e2acc4d276fda3d77d70172a29ade99a,0.0070678145,0.002064103
03001627/6d78523e939aedd482e23b5f9fd46e1e,0.016211294,0.003193583
03001627/a1e6226c3a23ec808a653a9f65a410f6,0.010739108,0.003413578
03001627/2a1124c7deb11176af42602f1636bd9,0.00863887,0.005160601
03001627/e8ef93ed45300501bfddc5b20c9212b4,0.009452833,0.0033628095
03001627/96b4422833f806cecb092644051ec279,0.0098315235,0.0025987916
03001627/38d623b46d07a93fb7d9d23574a480ae,0.0074230237,0.0043327194
03001627/1e53d84e48bb7d25febad4f49b26ec52,0.011944241,0.0023384357
03001627/d9061907b7b411dbe3db80a3cacc6e3,0.011708515,0.0026703158
03001627/4171071eb30dcb412dd4967de4160123,0.011701731,0.004925387
03001627/b7073426bf9332187c564a6b9ce2156f,0.0062705595,0.0017175801
03001627/610b1621d1997ee1daf3c002be658861,0.01085821,0.004293109
03001627/a439465d2bd623a14cb9f394cda169eb,0.008570277,0.0035991087
03001627/17f9eb6c0d818d45d7b20fded0142d7a,0.012481466,0.0035866997
03001627/8b886cf32f340c89a9e00c019d029152,0.008547521,0.0023004652
03001627/1825f6f71e68da9da36af77e45b32071,0.00801369,0.0022035653
03001627/94b39e206f1bd77c69e31bb722067900,0.013262706,0.0028761507
03001627/483d22dbbee32ee54e5c7d89bdfc49a3,0.009583963,0.0024193756
03001627/7d1a9d6a3297ab853e02e5116c35dcd3,0.007896513,0.0029269736
03001627/11506b96d41f7d3dd7c4a943f33e0384,0.006545814,0.0011595123
03001627/67bee683e394395d84ea893d074ffaa1,0.008089971,0.0026739764
